Series has,Syntax,Description:
Constructor,"Series([data, index, dtype, name, copy, ...])",One-dimensional ndarray with axis labels (including time series).
Attributes,Series.index,The index (axis labels) of the Series.
Attributes,Series.array,The ExtensionArray of the data backing this Series or Index.
Attributes,Series.values,Return Series as ndarray or ndarray-like depending on the dtype.
Attributes,Series.dtype,Return the dtype object of the underlying data.
Attributes,Series.shape,Return a tuple of the shape of the underlying data.
Attributes,Series.nbytes,Return the number of bytes in the underlying data.
Attributes,Series.ndim,"Number of dimensions of the underlying data, by definition 1."
Attributes,Series.size,Return the number of elements in the underlying data.
Attributes,Series.T,"Return the transpose, which is by definition self."
Attributes,"Series.memory_usage([index, deep])",Return the memory usage of the Series.
Attributes,Series.hasnans,Return True if there are any NaNs.
Attributes,Series.empty,Indicator whether Series/DataFrame is empty.
Attributes,Series.dtypes,Return the dtype object of the underlying data.
Attributes,Series.name,Return the name of the Series.
Attributes,Series.flags,Get the properties associated with this pandas object.
Attributes,"Series.set_flags(*[, copy, ...])",Return a new object with updated flags.
Conversion,"Series.astype(dtype[, copy, errors])",Cast a pandas object to a specified dtype dtype.
Conversion,"Series.convert_dtypes([infer_objects, ...])",Convert columns to best possible dtypes using dtypes supporting pd.NA.
Conversion,Series.infer_objects(),Attempt to infer better dtypes for object columns.
Conversion,Series.copy([deep]),Make a copy of this object's indices and data.
Conversion,Series.bool(),Return the bool of a single element Series or DataFrame.
Conversion,"Series.to_numpy([dtype, copy, na_value])",A NumPy ndarray representing the values in this Series or Index.
Conversion,"Series.to_period([freq, copy])",Convert Series from DatetimeIndex to PeriodIndex.
Conversion,"Series.to_timestamp([freq, how, copy])","Cast to DatetimeIndex of Timestamps, at beginning of period."
Conversion,Series.to_list(),Return a list of the values.
Conversion,Series.__array__([dtype]),Return the values as a NumPy array.
"Indexing, iteration","Series.get(key[, default])",Get item from object for given key (ex: DataFrame column).
"Indexing, iteration",Series.at,Access a single value for a row/column label pair.
"Indexing, iteration",Series.iat,Access a single value for a row/column pair by integer position.
"Indexing, iteration",Series.loc,Access a group of rows and columns by label(s) or a boolean array.
"Indexing, iteration",Series.iloc,Purely integer-location based indexing for selection by position.
"Indexing, iteration",Series.__iter__(),Return an iterator of the values.
"Indexing, iteration",Series.items(),"Lazily iterate over (index, value) tuples."
"Indexing, iteration",Series.iteritems(),"(DEPRECATED) Lazily iterate over (index, value) tuples."
"Indexing, iteration",Series.keys(),Return alias for index.
"Indexing, iteration",Series.pop(item),Return item and drops from series.
"Indexing, iteration",Series.item(),Return the first element of the underlying data as a Python scalar.
"Indexing, iteration","Series.xs(key[, axis, level, drop_level])",Return cross-section from the Series/DataFrame.
Binary operator functions,"Series.add(other[, level, fill_value, axis])","Return Addition of series and other, element-wise (binary operator add)."
Binary operator functions,"Series.sub(other[, level, fill_value, axis])","Return Subtraction of series and other, element-wise (binary operator sub)."
Binary operator functions,"Series.mul(other[, level, fill_value, axis])","Return Multiplication of series and other, element-wise (binary operator mul)."
Binary operator functions,"Series.div(other[, level, fill_value, axis])","Return Floating division of series and other, element-wise (binary operator truediv)."
Binary operator functions,"Series.truediv(other[, level, fill_value, axis])","Return Floating division of series and other, element-wise (binary operator truediv)."
Binary operator functions,"Series.floordiv(other[, level, fill_value, axis])","Return Integer division of series and other, element-wise (binary operator floordiv)."
Binary operator functions,"Series.mod(other[, level, fill_value, axis])","Return Modulo of series and other, element-wise (binary operator mod)."
